epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.8683,1.4985,4.08909,1.29904,0.00201,0.25622,0.01009,0.00557,1.15988,4.13867,0.99243,0.00028,0.00028,0.00028
2,163.71,1.24027,3.21068,1.13197,0.00329,0.64312,0.04104,0.01999,1.16818,3.95702,0.99343,0.00045714,0.00045714,0.00045714
3,202.207,1.2014,2.64048,1.1404,0.00491,0.96759,0.19085,0.12528,1.10754,3.41317,1.02991,0.00051944,0.00051944,0.00051944
4,240.386,1.09596,2.34934,1.07337,0.25107,0.27693,0.24964,0.16341,1.1289,2.76676,1.10319,0.000406,0.000406,0.000406
5,277.927,1.07194,2.21661,1.08527,0.24312,0.55026,0.28555,0.19182,1.08844,2.43289,1.08434,0.000208,0.000208,0.000208
