epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3503.26,0.65719,0.81283,0.87689,0.6312,0.65897,0.66276,0.51365,0.88847,1.43203,0.9588,0.0007294,0.0007294,0.0007294
43,3584.13,0.66896,0.80369,0.88341,0.75687,0.64795,0.7357,0.5984,0.76982,1.44686,0.90441,0.0007228,0.0007228,0.0007228
44,3664.84,0.67985,0.79977,0.89683,0.67566,0.62287,0.69721,0.53556,0.78508,1.54735,0.91472,0.0007162,0.0007162,0.0007162
45,3745.77,0.67545,0.74123,0.88151,0.70608,0.64461,0.72166,0.57785,0.75967,1.28673,0.91076,0.0007096,0.0007096,0.0007096
46,3826.64,0.64068,0.70104,0.89473,0.71042,0.597,0.70053,0.55383,0.85467,1.41498,0.93308,0.000703,0.000703,0.000703
47,3907.77,0.62385,0.67376,0.8864,0.59911,0.7259,0.68287,0.54427,0.78862,1.65285,0.91845,0.0006964,0.0006964,0.0006964
48,3988.81,0.63661,0.69303,0.88061,0.60804,0.79696,0.71982,0.57481,0.81521,1.59581,0.93049,0.0006898,0.0006898,0.0006898
49,4069.81,0.65573,0.7068,0.87286,0.63027,0.73775,0.71403,0.57964,0.77395,1.39482,0.90886,0.0006832,0.0006832,0.0006832
50,4150.78,0.60276,0.67871,0.84935,0.64081,0.75507,0.73074,0.55985,0.89524,1.45471,0.95094,0.0006766,0.0006766,0.0006766
51,4232.13,0.58878,0.62558,0.86494,0.5552,0.74963,0.66727,0.48624,1.0232,1.56311,1.03576,0.00067,0.00067,0.00067
52,4313.48,0.60313,0.62562,0.85884,0.59003,0.77402,0.67856,0.50092,1.07276,1.5096,1.05722,0.0006634,0.0006634,0.0006634
53,4394.46,0.62343,0.69298,0.87292,0.63713,0.70011,0.7335,0.57297,0.98529,1.70305,0.99675,0.0006568,0.0006568,0.0006568
54,4475.18,0.61931,0.66476,0.86223,0.63411,0.68107,0.6944,0.55552,0.90515,1.95271,0.95831,0.0006502,0.0006502,0.0006502
55,4556.23,0.61396,0.64885,0.88197,0.70749,0.62276,0.71011,0.55416,0.94561,1.82874,0.98109,0.0006436,0.0006436,0.0006436
56,4637.53,0.59128,0.6402,0.86214,0.63034,0.72086,0.7082,0.56057,0.91228,1.66671,0.95886,0.000637,0.000637,0.000637
57,4718.61,0.59904,0.64978,0.86351,0.60157,0.63598,0.69175,0.55307,0.93385,1.67319,0.98832,0.0006304,0.0006304,0.0006304
58,4799.56,0.55228,0.58567,0.85967,0.73712,0.66944,0.74902,0.54881,1.10389,1.33706,1.0421,0.0006238,0.0006238,0.0006238
59,4880.78,0.57778,0.65695,0.85475,0.63557,0.78314,0.76174,0.57628,0.99149,1.33061,0.98077,0.0006172,0.0006172,0.0006172
60,4961.63,0.53589,0.53787,0.85955,0.62877,0.70006,0.71395,0.52735,1.14623,1.48886,1.00698,0.0006106,0.0006106,0.0006106
61,5042.6,0.58744,0.67132,0.87232,0.69422,0.6159,0.72002,0.554,1.0375,1.50845,0.97562,0.000604,0.000604,0.000604
62,5123.53,0.54488,0.54803,0.84601,0.63813,0.65793,0.73056,0.57908,0.92827,1.46989,0.96937,0.0005974,0.0005974,0.0005974
63,5204.77,0.55585,0.56837,0.86291,0.62656,0.7198,0.76022,0.59561,0.91346,1.4099,0.98543,0.0005908,0.0005908,0.0005908
64,5285.53,0.53072,0.55095,0.86528,0.66474,0.69992,0.75178,0.55323,1.05581,1.40109,1.03477,0.0005842,0.0005842,0.0005842
65,5366.55,0.53564,0.55112,0.84427,0.65896,0.69994,0.73533,0.59872,0.74028,1.4318,0.9377,0.0005776,0.0005776,0.0005776
66,5447.67,0.53009,0.51586,0.84913,0.69781,0.75124,0.79073,0.64172,0.78919,1.3383,0.94549,0.000571,0.000571,0.000571
67,5531.31,0.52293,0.55087,0.84667,0.6891,0.7603,0.77548,0.64514,0.69485,1.25884,0.90683,0.0005644,0.0005644,0.0005644
68,5617.3,0.52495,0.49707,0.82693,0.67385,0.6466,0.69849,0.58468,0.64497,1.33774,0.89244,0.0005578,0.0005578,0.0005578
69,5698.51,0.5391,0.54558,0.84446,0.6373,0.71219,0.71139,0.58894,0.67157,1.41002,0.90089,0.0005512,0.0005512,0.0005512
70,5779.77,0.51795,0.50827,0.83986,0.68903,0.643,0.71036,0.60233,0.65311,1.43294,0.89757,0.0005446,0.0005446,0.0005446
71,5860.68,0.50497,0.51883,0.84201,0.66427,0.68161,0.71098,0.59593,0.66588,1.40449,0.88683,0.000538,0.000538,0.000538
72,5941.42,0.49366,0.51408,0.82424,0.70047,0.68121,0.71907,0.59225,0.7078,1.40598,0.89248,0.0005314,0.0005314,0.0005314
73,6022.6,0.50629,0.52304,0.84768,0.6213,0.761,0.69929,0.58179,0.75069,1.45478,0.89263,0.0005248,0.0005248,0.0005248
74,6103.51,0.48759,0.47016,0.83596,0.5464,0.73436,0.68352,0.57173,0.69492,1.38425,0.88974,0.0005182,0.0005182,0.0005182
75,6184.52,0.50996,0.5171,0.83239,0.57022,0.7826,0.69469,0.58542,0.68855,1.42102,0.88865,0.0005116,0.0005116,0.0005116
76,6265.23,0.50574,0.51218,0.84796,0.64231,0.65459,0.68775,0.57733,0.73017,1.4093,0.91305,0.000505,0.000505,0.000505
77,6346.36,0.52358,0.46378,0.84797,0.68107,0.65748,0.68749,0.57203,0.6851,1.29842,0.89801,0.0004984,0.0004984,0.0004984
78,6426.69,0.48883,0.50092,0.84015,0.63558,0.68654,0.68963,0.56951,0.76302,1.36086,0.90642,0.0004918,0.0004918,0.0004918
79,6508.17,0.49662,0.47838,0.83204,0.69256,0.66131,0.71551,0.61063,0.65705,1.31613,0.86995,0.0004852,0.0004852,0.0004852
80,6589.2,0.46933,0.41927,0.82887,0.71939,0.64592,0.73643,0.62931,0.66885,1.25822,0.88165,0.0004786,0.0004786,0.0004786
81,6670.15,0.502,0.44591,0.83713,0.69801,0.70941,0.74484,0.61411,0.83034,1.25322,0.92712,0.000472,0.000472,0.000472
82,6751.02,0.49934,0.47923,0.83532,0.73817,0.69456,0.76401,0.63781,0.72386,1.25239,0.8967,0.0004654,0.0004654,0.0004654
83,6831.8,0.49799,0.455,0.85705,0.65756,0.75509,0.76492,0.63865,0.67261,1.27534,0.88615,0.0004588,0.0004588,0.0004588
84,6912.25,0.46347,0.44348,0.82328,0.62622,0.77988,0.7465,0.63251,0.65367,1.37172,0.87052,0.0004522,0.0004522,0.0004522
85,6993.13,0.52086,0.44334,0.83178,0.57793,0.72566,0.7256,0.61773,0.5951,1.30371,0.86242,0.0004456,0.0004456,0.0004456
86,7073.92,0.48802,0.47085,0.8365,0.62416,0.70061,0.68177,0.5871,0.61188,1.35331,0.87667,0.000439,0.000439,0.000439
87,7154.79,0.47098,0.40531,0.80555,0.669,0.65084,0.70187,0.60671,0.60082,1.27402,0.8756,0.0004324,0.0004324,0.0004324
88,7235.47,0.4494,0.44738,0.8131,0.65523,0.66508,0.70818,0.5992,0.60784,1.22612,0.87074,0.0004258,0.0004258,0.0004258
89,7316.31,0.49656,0.44436,0.83133,0.61781,0.6829,0.68649,0.56764,0.72391,1.47292,0.90831,0.0004192,0.0004192,0.0004192
90,7396.65,0.50093,0.4548,0.84496,0.67673,0.64188,0.7038,0.59387,0.63877,1.39651,0.89441,0.0004126,0.0004126,0.0004126
91,7476.98,0.45397,0.41697,0.83253,0.6871,0.66502,0.71898,0.58747,0.75668,1.38229,0.92051,0.000406,0.000406,0.000406
92,7556.95,0.48132,0.44293,0.83305,0.72594,0.62062,0.73803,0.6133,0.68556,1.44995,0.90164,0.0003994,0.0003994,0.0003994
93,7638.08,0.46705,0.41297,0.83892,0.63273,0.75331,0.75053,0.5992,0.84026,1.39908,0.94699,0.0003928,0.0003928,0.0003928
94,7718.76,0.44665,0.40051,0.83085,0.67236,0.71457,0.72537,0.60871,0.67442,1.29134,0.89696,0.0003862,0.0003862,0.0003862
95,7799.55,0.4862,0.46541,0.81921,0.76383,0.64527,0.73882,0.59067,0.87387,1.36439,0.95033,0.0003796,0.0003796,0.0003796
96,7880.34,0.47063,0.38777,0.81646,0.62941,0.75152,0.73911,0.62158,0.70569,1.2891,0.90408,0.000373,0.000373,0.000373
97,7961.25,0.44302,0.41251,0.81011,0.76518,0.64016,0.75877,0.6295,0.75578,1.1553,0.92162,0.0003664,0.0003664,0.0003664
